filial_venda;ano_mes;venda_mensal;venda_anterior;crescimento_percentual;crescimento_percentual_br;rank_crescimento
29;2022-08;44235.34;37472.1;18.05;18,05;4
29;2023-05;44371.66;38020.2;16.71;16,71;5
30;2023-03;25738.33;15031.77;71.23;71,23;1
30;2022-11;44898.21;27823.02;61.37;61,37;2
30;2022-10;27823.02;18442.75;50.86;50,86;3
30;2022-08;26569.52;20918.24;27.02;27,02;4
30;2023-05;25525.09;20978.15;21.67;21,67;5
31;2023-04;38538.94;19983.53;92.85;92,85;1
31;2022-11;34766.52;21431.47;62.22;62,22;2
31;2022-08;26903.94;21000.47;28.11;28,11;3
31;2022-12;37831.12;34766.52;8.81;8,81;4
31;2023-03;19983.53;19607.16;1.92;1,92;5
32;2023-03;47580.69;31947.1;48.94;48,94;1
32;2023-05;47025.14;34099.02;37.91;37,91;2
32;2022-11;56473.05;42238.94;33.7;33,70;3
32;2023-06;56338.26;47025.14;19.8;19,80;4
32;2022-09;47486.91;43265.08;9.76;9,76;5
33;2023-03;64388.89;36432.65;76.73;76,73;1
33;2022-10;56144.73;48394.45;16.01;16,01;2
33;2022-11;63728.71;56144.73;13.51;13,51;3
33;2022-12;69201.41;63728.71;8.59;8,59;4
33;2022-08;54957.84;51229.11;7.28;7,28;5
34;2023-03;73161.26;54273.39;34.8;34,80;1
34;2022-10;67781.48;54879.26;23.51;23,51;2
34;2023-05;65838.76;54206.77;21.46;21,46;3
34;2022-11;80925.44;67781.48;19.39;19,39;4
34;2022-09;54879.26;46426.36;18.21;18,21;5
35;2023-04;42906.1;25351.94;69.24;69,24;1
35;2022-11;52750.04;36498.57;44.53;44,53;2
35;2022-10;36498.57;27907.09;30.79;30,79;3
35;2023-01;42018.34;34155.73;23.02;23,02;4
35;2023-05;49858.21;42906.1;16.2;16,20;5
36;2022-10;55191.21;35825.44;54.06;54,06;1
36;2023-05;45933.12;30915.88;48.57;48,57;2
36;2023-03;42814.59;29366.04;45.8;45,80;3
36;2023-06;50632.89;45933.12;10.23;10,23;4
36;2022-11;60624.24;55191.21;9.84;9,84;5
37;2023-03;130075.29;84092.54;54.68;54,68;1
37;2022-11;170294.47;131027.19;29.97;29,97;2
37;2022-10;131027.19;106692.03;22.81;22,81;3
37;2023-01;117043.38;95972.64;21.95;21,95;4
37;2023-06;121472.49;107045.89;13.48;13,48;5
40;2023-03;139705.42;91306.81;53.01;53,01;1
40;2022-11;159085.62;116581.42;36.46;36,46;2
40;2022-09;115506.93;89236.04;29.44;29,44;3
40;2023-06;146061.58;120525.45;21.19;21,19;4
40;2023-05;120525.45;103619.85;16.32;16,32;5
41;2023-03;75298.09;51103.24;47.35;47,35;1
41;2022-11;124503.03;86962.42;43.17;43,17;2
41;2023-05;94486.75;70075.19;34.84;34,84;3
41;2022-10;86962.42;67301.81;29.21;29,21;4
41;2022-09;67301.81;62267.59;8.08;8,08;5
42;2022-11;370673.64;264369.55;40.21;40,21;1
42;2023-05;273912.49;214961.9;27.42;27,42;2
42;2023-03;219259.14;185590.9;18.14;18,14;3
42;2022-10;264369.55;252565.74;4.67;4,67;4
42;2023-04;214961.9;219259.14;-1.96;-1,96;5
43;2023-05;53826.39;32688.77;64.66;64,66;1
43;2022-11;65055.04;41194.84;57.92;57,92;2
43;2023-03;40061.06;29157.45;37.4;37,40;3
43;2022-10;41194.84;36470.31;12.95;12,95;4
43;2023-06;58245.74;53826.39;8.21;8,21;5
44;2023-03;83428.17;44629.32;86.94;86,94;1
44;2022-10;76240.63;60663.74;25.68;25,68;2
44;2023-06;99715.05;79862.91;24.86;24,86;3
44;2022-11;87802.19;76240.63;15.16;15,16;4
44;2023-05;79862.91;76009.91;5.07;5,07;5
45;2023-03;42356.49;23526.74;80.04;80,04;1
45;2022-11;56022.51;34115.46;64.21;64,21;2
45;2023-06;47494.64;36050.69;31.74;31,74;3
45;2022-10;34115.46;32500.55;4.97;4,97;4
45;2022-12;58447.39;56022.51;4.33;4,33;5
46;2022-11;160904.25;116856.87;37.69;37,69;1
46;2023-03;112090.85;89158.54;25.72;25,72;2
46;2022-09;101681.68;87568.66;16.12;16,12;3
46;2022-10;116856.87;101681.68;14.92;14,92;4
46;2023-06;111617.56;97196.23;14.84;14,84;5
47;2022-10;100685.14;59408.97;69.48;69,48;1
47;2023-03;107178.2;73817.0;45.19;45,19;2
47;2023-05;102517.28;83727.25;22.44;22,44;3
47;2022-11;112801.23;100685.14;12.03;12,03;4
47;2023-06;105976.59;102517.28;3.37;3,37;5
48;2022-11;131384.7;82633.03;59.0;59,00;1
48;2023-03;77638.6;65221.66;19.04;19,04;2
48;2022-10;82633.03;69628.97;18.68;18,68;3
48;2023-05;96538.8;85473.52;12.95;12,95;4
48;2023-04;85473.52;77638.6;10.09;10,09;5
50;2022-11;247133.79;206860.26;19.47;19,47;1
50;2022-10;206860.26;173454.14;19.26;19,26;2
50;2023-05;211355.92;188881.01;11.9;11,90;3
50;2023-06;234852.25;211355.92;11.12;11,12;4
50;2023-03;200920.63;189417.24;6.07;6,07;5
51;2023-03;63780.18;32283.79;97.56;97,56;1
51;2022-10;61128.23;40219.02;51.99;51,99;2
51;2023-04;74630.77;63780.18;17.01;17,01;3
51;2022-11;71458.32;61128.23;16.9;16,90;4
51;2023-06;70608.21;70638.79;-0.04;-0,04;5
52;2022-09;164708.32;130214.1;26.49;26,49;1
52;2022-11;208237.12;172775.65;20.52;20,52;2
52;2023-06;180195.02;158413.25;13.75;13,75;3
52;2023-05;158413.25;140339.13;12.88;12,88;4
52;2023-03;151006.61;140660.92;7.36;7,36;5
53;2022-11;46288.95;30701.37;50.77;50,77;1
53;2023-05;37937.18;25514.39;48.69;48,69;2
53;2022-10;30701.37;23741.29;29.32;29,32;3
53;2023-03;34959.8;27246.22;28.31;28,31;4
53;2022-09;23741.29;24195.68;-1.88;-1,88;5
54;2022-11;195760.12;123273.17;58.8;58,80;1
54;2022-10;123273.17;78776.41;56.48;56,48;2
54;2023-04;136056.31;105938.1;28.43;28,43;3
54;2023-06;129442.1;119639.13;8.19;8,19;4
54;2022-08;112841.79;109357.91;3.19;3,19;5
55;2023-03;101319.45;76755.26;32.0;32,00;1
55;2023-06;96214.12;76197.54;26.27;26,27;2
55;2023-01;126265.79;104709.36;20.59;20,59;3
55;2022-11;125945.82;109951.26;14.55;14,55;4
55;2022-10;109951.26;98629.13;11.48;11,48;5
56;2022-09;66454.8;51510.73;29.01;29,01;1
56;2023-05;76530.14;60045.08;27.45;27,45;2
56;2023-04;60045.08;49931.56;20.25;20,25;3
56;2022-10;75470.97;66454.8;13.57;13,57;4
56;2022-11;80447.77;75470.97;6.59;6,59;5
57;2022-11;61492.32;33140.74;85.55;85,55;1
57;2023-06;45176.52;36961.66;22.23;22,23;2
57;2023-03;34145.3;30992.14;10.17;10,17;3
57;2023-04;35904.47;34145.3;5.15;5,15;4
57;2023-05;36961.66;35904.47;2.94;2,94;5
58;2022-09;46989.54;34370.98;36.71;36,71;1
58;2023-05;58340.27;45478.84;28.28;28,28;2
58;2023-03;47172.96;39685.78;18.87;18,87;3
58;2022-10;50915.15;46989.54;8.35;8,35;4
58;2022-11;50250.87;50915.15;-1.3;-1,30;5
59;2022-10;105595.27;82594.46;27.85;27,85;1
59;2022-12;133204.91;109177.02;22.01;22,01;2
59;2023-05;84946.18;72432.68;17.28;17,28;3
59;2023-03;96732.05;82810.05;16.81;16,81;4
59;2022-09;82594.46;77685.29;6.32;6,32;5
60;2022-11;50888.8;35664.03;42.69;42,69;1
60;2023-05;43823.72;33552.22;30.61;30,61;2
60;2023-03;42427.53;34129.28;24.31;24,31;3
60;2023-02;34129.28;33526.89;1.8;1,80;4
60;2022-10;35664.03;35702.61;-0.11;-0,11;5
61;2022-11;66415.9;47403.65;40.11;40,11;1
61;2023-04;45744.57;34735.44;31.69;31,69;2
61;2023-06;57044.38;46071.11;23.82;23,82;3
61;2022-09;52194.98;43902.68;18.89;18,89;4
61;2023-05;46071.11;45744.57;0.71;0,71;5
62;2022-10;76920.72;58054.51;32.5;32,50;1
62;2022-11;95771.75;76920.72;24.51;24,51;2
62;2023-06;96818.45;77988.52;24.14;24,14;3
62;2023-05;77988.52;62858.39;24.07;24,07;4
62;2022-09;58054.51;52286.25;11.03;11,03;5
63;2022-11;70961.6;50699.63;39.96;39,96;1
63;2022-09;50778.3;36643.86;38.57;38,57;2
63;2023-04;49252.29;35575.67;38.44;38,44;3
63;2023-03;35575.67;31856.94;11.67;11,67;4
63;2023-05;51959.77;49252.29;5.5;5,50;5
64;2022-11;93513.33;63350.04;47.61;47,61;1
64;2023-05;88176.39;67565.11;30.51;30,51;2
64;2023-03;77501.46;60485.3;28.13;28,13;3
64;2023-02;60485.3;51987.03;16.35;16,35;4
64;2022-10;63350.04;58973.39;7.42;7,42;5
72;2022-11;55029.5;35860.5;53.45;53,45;1
72;2022-10;35860.5;28355.22;26.47;26,47;2
72;2023-04;29778.72;30058.92;-0.93;-0,93;3
72;2023-02;34689.86;36123.59;-3.97;-3,97;4
72;2023-05;27763.47;29778.72;-6.77;-6,77;5
73;2022-10;107552.67;70795.72;51.92;51,92;1
73;2023-03;108222.56;85073.15;27.21;27,21;2
73;2022-11;125548.71;107552.67;16.73;16,73;3
73;2023-04;110976.36;108222.56;2.54;2,54;4
73;2022-12;125890.28;125548.71;0.27;0,27;5
74;2022-11;230542.54;142411.74;61.88;61,88;1
74;2022-10;142411.74;114264.63;24.63;24,63;2
74;2023-04;132858.84;121620.72;9.24;9,24;3
74;2023-05;142423.82;132858.84;7.2;7,20;4
74;2023-06;151749.0;142423.82;6.55;6,55;5
75;2022-11;89852.81;58077.69;54.71;54,71;1
75;2023-03;59987.08;48357.89;24.05;24,05;2
75;2022-10;58077.69;49291.03;17.83;17,83;3
75;2023-05;63474.94;60031.73;5.74;5,74;4
75;2022-08;52272.24;49767.45;5.03;5,03;5
76;2022-10;131330.46;95726.44;37.19;37,19;1
76;2022-11;170680.62;131330.46;29.96;29,96;2
76;2023-03;128432.03;101520.11;26.51;26,51;3
76;2023-05;127348.6;102301.82;24.48;24,48;4
76;2023-06;135005.91;127348.6;6.01;6,01;5
77;2022-10;43698.32;22309.82;95.87;95,87;1
77;2023-03;32362.75;23882.74;35.51;35,51;2
77;2022-11;58429.23;43698.32;33.71;33,71;3
77;2023-04;39467.95;32362.75;21.95;21,95;4
77;2023-05;46165.02;39467.95;16.97;16,97;5
78;2022-10;236344.83;171585.76;37.74;37,74;1
78;2022-11;298443.51;236344.83;26.27;26,27;2
78;2022-09;171585.76;141182.07;21.54;21,54;3
78;2023-03;191684.34;169286.14;13.23;13,23;4
78;2023-05;200463.0;181458.43;10.47;10,47;5
79;2022-09;55807.93;33280.65;67.69;67,69;1
79;2023-04;55171.38;38825.5;42.1;42,10;2
79;2022-11;84136.69;60963.33;38.01;38,01;3
79;2023-05;69788.81;55171.38;26.49;26,49;4
79;2022-10;60963.33;55807.93;9.24;9,24;5
80;2022-11;153313.95;108253.3;41.63;41,63;1
80;2022-10;108253.3;78926.31;37.16;37,16;2
80;2023-05;127853.16;100368.59;27.38;27,38;3
80;2023-04;100368.59;96872.44;3.61;3,61;4
80;2023-06;129250.6;127853.16;1.09;1,09;5
81;2022-10;35820.79;23598.53;51.79;51,79;1
81;2022-11;53020.43;35820.79;48.02;48,02;2
81;2023-04;41878.87;31667.34;32.25;32,25;3
81;2022-09;23598.53;21096.63;11.86;11,86;4
81;2022-12;55680.86;53020.43;5.02;5,02;5
82;2022-11;277812.43;220709.96;25.87;25,87;1
82;2022-10;220709.96;181969.8;21.29;21,29;2
82;2022-09;181969.8;159138.07;14.35;14,35;3
82;2023-05;200593.56;178483.75;12.39;12,39;4
82;2023-01;238139.58;212881.0;11.87;11,87;5
83;2022-10;57384.18;35697.53;60.75;60,75;1
83;2023-03;57171.82;38064.74;50.2;50,20;2
83;2022-12;69425.33;57418.99;20.91;20,91;3
83;2023-06;50198.68;42223.23;18.89;18,89;4
83;2022-08;45353.97;40309.36;12.51;12,51;5
84;2023-05;71673.87;50636.11;41.55;41,55;1
84;2023-06;88078.79;71673.87;22.89;22,89;2
84;2022-11;89403.09;75270.43;18.78;18,78;3
84;2023-03;67441.61;58745.28;14.8;14,80;4
84;2022-09;72565.37;66508.79;9.11;9,11;5
85;2023-05;59863.93;40325.86;48.45;48,45;1
85;2022-11;75498.0;52829.26;42.91;42,91;2
85;2022-09;57048.68;43913.65;29.91;29,91;3
85;2023-06;59967.51;59863.93;0.17;0,17;4
85;2023-03;47858.52;47942.91;-0.18;-0,18;5
86;2022-11;97876.91;58238.31;68.06;68,06;1
86;2022-10;58238.31;40634.63;43.32;43,32;2
86;2023-03;42905.62;35571.92;20.62;20,62;3
86;2023-05;57964.01;49497.91;17.1;17,10;4
86;2023-04;49497.91;42905.62;15.36;15,36;5
87;2022-11;46996.88;32618.6;44.08;44,08;1
87;2023-05;45128.72;33587.15;34.36;34,36;2
87;2023-02;38407.86;31956.02;20.19;20,19;3
87;2022-09;33422.47;29189.43;14.5;14,50;4
87;2023-03;41754.77;38407.86;8.71;8,71;5
88;2022-10;69092.33;47580.9;45.21;45,21;1
88;2023-02;72347.46;56724.13;27.54;27,54;2
88;2023-04;74444.62;59107.09;25.95;25,95;3
88;2022-11;77318.28;69092.33;11.91;11,91;4
88;2023-05;78420.07;74444.62;5.34;5,34;5
89;2023-03;27239.03;16167.51;68.48;68,48;1
89;2022-11;38349.79;31888.12;20.26;20,26;2
89;2022-09;32488.69;28746.46;13.02;13,02;3
89;2023-05;29331.01;26536.47;10.53;10,53;4
89;2022-10;31888.12;32488.69;-1.85;-1,85;5
90;2022-10;132601.35;100340.05;32.15;32,15;1
90;2023-05;100342.32;78660.8;27.56;27,56;2
90;2022-11;154726.46;132601.35;16.69;16,69;3
90;2023-03;105651.38;90579.1;16.64;16,64;4
90;2022-08;111840.48;119854.41;-6.69;-6,69;5
92;2023-03;37612.57;22897.88;64.26;64,26;1
92;2022-11;49461.72;37799.82;30.85;30,85;2
92;2023-05;40558.42;37150.57;9.17;9,17;3
92;2023-06;42766.85;40558.42;5.45;5,45;4
92;2022-09;39360.37;39213.53;0.37;0,37;5
93;2022-11;21469.49;15722.31;36.55;36,55;1
93;2023-05;18462.22;14410.19;28.12;28,12;2
93;2022-10;15722.31;12720.43;23.6;23,60;3
93;2023-02;15261.77;14064.41;8.51;8,51;4
93;2023-04;14410.19;13436.44;7.25;7,25;5
94;2022-11;85850.62;40847.52;110.17;110,17;1
94;2023-04;58964.98;43977.36;34.08;34,08;2
94;2022-09;41945.58;42893.39;-2.21;-2,21;3
94;2022-10;40847.52;41945.58;-2.62;-2,62;4
94;2023-02;54404.0;57806.77;-5.89;-5,89;5
95;2022-10;39765.98;29536.25;34.63;34,63;1
95;2022-11;52898.01;39765.98;33.02;33,02;2
95;2023-05;40739.22;35183.11;15.79;15,79;3
95;2023-04;35183.11;34013.05;3.44;3,44;4
95;2023-03;34013.05;35513.32;-4.22;-4,22;5
96;2022-10;82592.4;52736.17;56.61;56,61;1
96;2022-12;110961.3;84669.06;31.05;31,05;2
96;2023-03;82497.45;73475.74;12.28;12,28;3
96;2023-04;89378.57;82497.45;8.34;8,34;4
96;2022-11;84669.06;82592.4;2.51;2,51;5
97;2022-10;56544.5;31418.83;79.97;79,97;1
97;2023-05;46131.55;33439.97;37.95;37,95;2
97;2022-11;58853.26;56544.5;4.08;4,08;3
97;2022-09;31418.83;30254.51;3.85;3,85;4
97;2023-01;40568.25;40868.09;-0.73;-0,73;5
98;2023-06;117677.73;86776.48;35.61;35,61;1
98;2022-11;128799.62;105522.44;22.06;22,06;2
98;2023-03;109596.13;90723.82;20.8;20,80;3
98;2023-05;86776.48;74183.91;16.97;16,97;4
98;2022-10;105522.44;100831.65;4.65;4,65;5
99;2023-05;76972.97;53269.07;44.5;44,50;1
99;2022-11;69121.38;51662.05;33.8;33,80;2
99;2023-03;52913.88;42328.04;25.01;25,01;3
99;2022-12;73613.8;69121.38;6.5;6,50;4
99;2022-10;51662.05;48648.52;6.19;6,19;5
100;2022-10;101739.62;69713.45;45.94;45,94;1
100;2023-03;102512.53;75949.4;34.97;34,97;2
100;2023-05;117643.18;87929.33;33.79;33,79;3
100;2022-11;122430.55;101739.62;20.34;20,34;4
100;2022-08;92263.6;92758.2;-0.53;-0,53;5
101;2022-11;64198.82;46579.23;37.83;37,83;1
101;2022-10;46579.23;34913.61;33.41;33,41;2
101;2022-08;36901.62;31707.76;16.38;16,38;3
101;2023-05;40494.52;36110.3;12.14;12,14;4
101;2023-03;36807.32;34828.92;5.68;5,68;5
102;2022-08;21128.68;10269.53;105.74;105,74;1
102;2022-11;28356.59;20713.44;36.9;36,90;2
102;2023-03;23508.9;17869.96;31.56;31,56;3
102;2022-10;20713.44;16480.69;25.68;25,68;4
102;2023-02;17869.96;17228.04;3.73;3,73;5
103;2023-03;34056.33;25275.82;34.74;34,74;1
103;2022-11;44783.85;33427.02;33.97;33,97;2
103;2023-06;38993.74;30550.72;27.64;27,64;3
103;2023-01;40644.21;35211.14;15.43;15,43;4
103;2022-10;33427.02;29241.53;14.31;14,31;5
104;2022-11;16049.22;8338.65;92.47;92,47;1
104;2022-12;30696.92;16049.22;91.27;91,27;2
104;2022-09;11643.22;8230.91;41.46;41,46;3
104;2023-04;27789.21;23303.26;19.25;19,25;4
104;2023-06;26091.98;24142.01;8.08;8,08;5
105;2022-10;14373.3;6653.66;116.02;116,02;1
105;2023-04;17433.75;13318.03;30.9;30,90;2
105;2023-02;12295.61;9953.84;23.53;23,53;3
105;2022-11;17113.67;14373.3;19.07;19,07;4
105;2023-01;9953.84;8647.06;15.11;15,11;5
106;2022-11;62810.76;47907.35;31.11;31,11;1
106;2022-10;47907.35;37915.05;26.35;26,35;2
106;2022-12;65991.15;62810.76;5.06;5,06;3
106;2022-09;37915.05;36709.06;3.29;3,29;4
106;2023-06;38957.31;38017.75;2.47;2,47;5
107;2022-11;94161.83;52478.39;79.43;79,43;1
107;2022-10;52478.39;33374.25;57.24;57,24;2
107;2022-08;59190.21;49491.79;19.6;19,60;3
107;2023-03;59876.57;50760.6;17.96;17,96;4
107;2023-02;50760.6;45658.72;11.17;11,17;5
108;2022-11;232112.29;157217.54;47.64;47,64;1
108;2023-05;171649.94;141672.81;21.16;21,16;2
108;2023-03;167994.74;147697.82;13.74;13,74;3
108;2022-10;157217.54;138902.55;13.19;13,19;4
108;2022-09;138902.55;123229.44;12.72;12,72;5
109;2022-10;44696.82;30061.44;48.68;48,68;1
109;2022-11;62812.2;44696.82;40.53;40,53;2
109;2023-03;37324.18;29683.54;25.74;25,74;3
109;2022-09;30061.44;24870.29;20.87;20,87;4
109;2023-06;41692.32;35086.63;18.83;18,83;5
110;2023-03;162937.0;133803.06;21.77;21,77;1
110;2022-11;214282.96;176209.67;21.61;21,61;2
110;2022-09;150851.38;128935.98;17.0;17,00;3
110;2022-10;176209.67;150851.38;16.81;16,81;4
110;2023-05;175498.23;163826.07;7.12;7,12;5
111;2022-11;26845.63;18834.14;42.54;42,54;1
111;2023-05;19945.07;14400.84;38.5;38,50;2
111;2023-02;15351.95;14574.24;5.34;5,34;3
111;2023-04;14400.84;13920.96;3.45;3,45;4
111;2022-09;21598.81;21207.18;1.85;1,85;5
113;2023-03;113086.35;65637.28;72.29;72,29;1
113;2022-10;102075.15;87984.82;16.01;16,01;2
113;2022-12;113053.03;105422.97;7.24;7,24;3
113;2022-09;87984.82;83663.62;5.16;5,16;4
113;2022-11;105422.97;102075.15;3.28;3,28;5
114;2022-09;42257.42;32694.14;29.25;29,25;1
114;2022-11;45802.49;39407.57;16.23;16,23;2
114;2023-01;36510.27;32352.88;12.85;12,85;3
114;2023-06;23585.94;21789.5;8.24;8,24;4
114;2023-03;33932.54;33124.37;2.44;2,44;5
115;2023-03;41618.32;20436.79;103.64;103,64;1
115;2022-11;42031.43;23353.74;79.98;79,98;2
115;2023-01;44317.84;28277.07;56.73;56,73;3
115;2022-10;23353.74;21845.99;6.9;6,90;4
115;2023-04;41587.96;41618.32;-0.07;-0,07;5
116;2022-10;43893.6;31087.11;41.2;41,20;1
116;2023-05;52627.56;41649.6;26.36;26,36;2
116;2022-11;55412.81;43893.6;26.24;26,24;3
116;2023-03;42687.23;38184.74;11.79;11,79;4
116;2022-08;43745.36;40786.1;7.26;7,26;5
117;2022-10;61581.64;48942.73;25.82;25,82;1
117;2023-02;70171.58;63490.02;10.52;10,52;2
117;2022-12;67394.48;63262.4;6.53;6,53;3
117;2022-11;63262.4;61581.64;2.73;2,73;4
117;2023-04;54389.77;54597.73;-0.38;-0,38;5
118;2022-11;100406.78;70369.23;42.69;42,69;1
118;2022-09;57798.6;43713.06;32.22;32,22;2
118;2023-03;66766.25;53841.31;24.01;24,01;3
118;2022-10;70369.23;57798.6;21.75;21,75;4
118;2023-06;68694.6;59127.13;16.18;16,18;5
119;2022-10;52478.74;30036.12;74.72;74,72;1
119;2023-03;35853.21;21156.86;69.46;69,46;2
119;2023-04;52932.26;35853.21;47.64;47,64;3
119;2023-06;41960.59;41370.28;1.43;1,43;4
119;2022-11;51245.13;52478.74;-2.35;-2,35;5
120;2022-11;139024.67;104831.63;32.62;32,62;1
120;2023-03;105637.19;83484.43;26.54;26,54;2
